asset,facility,state
161412,Scripps Memorial Hospital La Jolla Campus,In Service
162692,Scripps Green Hospital Campus,In Service
158592,Scripps Memorial Hospital Encinitas Campus,In Service
166945,Scripps Mercy Hospital Chula Vista Campus,In Service
173048,Scripps Clinics and Coastal Medical Centers,In Service
161958,Scripps Mercy Hospital San Diego Campus,In Service
159919,Scripps Clinics and Coastal Medical Centers,In Service
159922,Scripps Green Hospital Campus,In Service
160250,Scripps Memorial Hospital La Jolla Campus,In Service
173571,Scripps Memorial Hospital La Jolla Campus,In Service
160444,Scripps Memorial Hospital La Jolla Campus,In Service
161339,Scripps Memorial Hospital La Jolla Campus,In Service
161439,Scripps Memorial Hospital La Jolla Campus,In Service
162713,Scripps Green Hospital Campus,In Service
158837,Scripps Memorial Hospital Encinitas Campus,In Service
159908,Scripps Memorial Hospital Encinitas Campus,In Service
159722,Scripps Green Hospital Campus,In Service
159321,Scripps Mercy Hospital San Diego Campus,In Service
160470,Scripps Memorial Hospital La Jolla Campus,In Service
177028,Scripps Mercy Hospital San Diego Campus,In Service
160585,Scripps Mercy Hospital San Diego Campus,In Service
167039,Scripps Mercy Hospital San Diego Campus,In Service
158558,Scripps Memorial Hospital Encinitas Campus,In Service
158701,Scripps Memorial Hospital Encinitas Campus,In Service
157666,Scripps Green Hospital Campus,In Service
162331,Scripps Memorial Hospital Encinitas Campus,In Service
159413,Scripps Mercy Hospital San Diego Campus,In Service
171995,Scripps Mercy Hospital Chula Vista Campus,In Service
162210,Scripps Mercy Hospital Chula Vista Campus,In Service
166980,Scripps Green Hospital Campus,In Service
161937,Scripps Memorial Hospital La Jolla Campus,In Service
162277,Scripps Mercy Hospital Chula Vista Campus,In Service
162069,Scripps Memorial Hospital La Jolla Campus,In Service
154876,Scripps Memorial Hospital La Jolla Campus,In Service
166916,Scripps Mercy Hospital Chula Vista Campus,In Service
157578,Scripps Green Hospital Campus,In Service
158798,Scripps Memorial Hospital Encinitas Campus,In Service
157690,Scripps Green Hospital Campus,In Service
160220,Scripps Memorial Hospital La Jolla Campus,In Service
162154,Scripps Mercy Hospital Chula Vista Campus,In Service
159884,Scripps Clinics and Coastal Medical Centers,In Service
160550,Scripps Mercy Hospital San Diego Campus,In Service
162225,Scripps Mercy Hospital Chula Vista Campus,In Service
158521,Scripps Memorial Hospital Encinitas Campus,In Service
162359,Scripps Mercy Hospital Chula Vista Campus,In Service
166947,Scripps Mercy Hospital Chula Vista Campus,In Service
158819,Scripps Memorial Hospital Encinitas Campus,In Service
160147,Scripps Memorial Hospital La Jolla Campus,In Service
160247,Scripps Memorial Hospital La Jolla Campus,In Service
160569,Scripps Mercy Hospital San Diego Campus,In Service
161337,Scripps Memorial Hospital La Jolla Campus,In Service
160639,Scripps Mercy Hospital San Diego Campus,In Service
161435,Scripps Memorial Hospital La Jolla Campus,In Service
160715,Scripps Mercy Hospital San Diego Campus,In Service
161532,Scripps Memorial Hospital La Jolla Campus,In Service
158606,Scripps Memorial Hospital Encinitas Campus,In Service
158609,Scripps Memorial Hospital Encinitas Campus,In Service
160857,Scripps Mercy Hospital San Diego Campus,In Service
158761,Scripps Memorial Hospital Encinitas Campus,In Service
162074,Scripps Mercy Hospital San Diego Campus,In Service
159404,Scripps Memorial Hospital La Jolla Campus,In Service
159823,Scripps Green Hospital Campus,In Service
159317,Scripps Mercy Hospital San Diego Campus,In Service
160273,Scripps Memorial Hospital La Jolla Campus,In Service
160373,Scripps Memorial Hospital La Jolla Campus,In Service
162120,Scripps Mercy Hospital Chula Vista Campus,In Service
162189,Scripps Mercy Hospital Chula Vista Campus,In Service
201558,Scripps Memorial Hospital La Jolla Campus,In Service
160587,Scripps Mercy Hospital San Diego Campus,In Service
162261,Scripps Mercy Hospital Chula Vista Campus,In Service
162029,Scripps Green Hospital Campus,In Service
161461,Scripps Memorial Hospital La Jolla Campus,In Service
158625,Scripps Memorial Hospital Encinitas Campus,In Service
159751,Scripps Green Hospital Campus,In Service
159858,Scripps Green Hospital Campus,In Service
159973,Scripps Green Hospital Campus,In Service
167589,Scripps Memorial Hospital La Jolla Campus,In Service
160496,Scripps Memorial Hospital La Jolla Campus,In Service
159561,Scripps Mercy Hospital San Diego Campus,In Service
159818,Scripps Clinics and Coastal Medical Centers,In Service
160531,Scripps Mercy Hospital San Diego Campus,In Service
160604,Scripps Mercy Hospital San Diego Campus,In Service
158502,Scripps Memorial Hospital Encinitas Campus,In Service
160748,Scripps Mercy Hospital San Diego Campus,In Service
158572,Scripps Memorial Hospital Encinitas Campus,In Service
161579,Scripps Memorial Hospital La Jolla Campus,In Service
158646,Scripps Memorial Hospital Encinitas Campus,In Service
173563,Scripps Mercy Hospital San Diego Campus,In Service
173051,Scripps Memorial Hospital Encinitas Campus,In Service
157692,Scripps Green Hospital Campus,In Service
158871,Scripps Memorial Hospital Encinitas Campus,In Service
162007,Scripps Green Hospital Campus,In Service
159429,Scripps Mercy Hospital San Diego Campus,In Service
159502,Scripps Mercy Hospital San Diego Campus,In Service
156385,Scripps Memorial Hospital Encinitas Campus,In Service
162294,Scripps Mercy Hospital Chula Vista Campus,In Service
158517,Scripps Memorial Hospital Encinitas Campus,In Service
160699,Scripps Mercy Hospital San Diego Campus,In Service
161511,Scripps Memorial Hospital La Jolla Campus,In Service
161603,Scripps Memorial Hospital La Jolla Campus,In Service
158815,Scripps Memorial Hospital Encinitas Campus,In Service
159798,Scripps Green Hospital Campus,In Service
172012,Scripps Memorial Hospital La Jolla Campus,In Service
162104,Scripps Mercy Hospital Chula Vista Campus,In Service
162173,Scripps Mercy Hospital Chula Vista Campus,In Service
162244,Scripps Mercy Hospital Chula Vista Campus,In Service
162003,Scripps Green Hospital Campus,In Service
158538,Scripps Memorial Hospital Encinitas Campus,In Service
160780,Scripps Mercy Hospital San Diego Campus,In Service
158757,Scripps Memorial Hospital Encinitas Campus,In Service
159815,Scripps Green Hospital Campus,In Service
160167,Scripps Memorial Hospital La Jolla Campus,In Service
166994,Scripps Memorial Hospital La Jolla Campus,In Service
160050,Scripps Green Hospital Campus,In Service
160053,Scripps Green Hospital Campus,In Service
159396,Scripps Mercy Hospital San Diego Campus,In Service
159464,Scripps Mercy Hospital San Diego Campus,In Service
172016,Scripps Memorial Hospital La Jolla Campus,In Service
160467,Scripps Memorial Hospital La Jolla Campus,In Service
159542,Scripps Mercy Hospital San Diego Campus,In Service
162324,Scripps Mercy Hospital Chula Vista Campus,In Service
160729,Scripps Mercy Hospital San Diego Campus,In Service
160732,Scripps Mercy Hospital San Diego Campus,In Service
161555,Scripps Memorial Hospital La Jolla Campus,In Service
160883,Scripps Mercy Hospital San Diego Campus,In Service
158856,Scripps Memorial Hospital Encinitas Campus,In Service
159955,Scripps Memorial Hospital La Jolla Campus,In Service
159975,Scripps Green Hospital Campus,In Service
159335,Scripps Mercy Hospital San Diego Campus,In Service
160394,Scripps Memorial Hospital La Jolla Campus,In Service
160492,Scripps Memorial Hospital La Jolla Campus,In Service
162138,Scripps Mercy Hospital Chula Vista Campus,In Service
161390,Scripps Memorial Hospital La Jolla Campus,In Service
160679,Scripps Mercy Hospital San Diego Campus,In Service
158574,Scripps Memorial Hospital Encinitas Campus,In Service
161575,Scripps Memorial Hospital La Jolla Campus,In Service
159771,Scripps Green Hospital Campus,In Service
160122,Scripps Memorial Hospital La Jolla Campus,In Service
160422,Scripps Memorial Hospital La Jolla Campus,In Service
161318,Scripps Memorial Hospital La Jolla Campus,In Service
162700,Scripps Clinics and Coastal Medical Centers,In Service
160765,Scripps Corporate and Business Services,In Service
158596,Scripps Memorial Hospital Encinitas Campus,In Service
158744,Scripps Memorial Hospital Encinitas Campus,In Service
159706,Scripps Green Hospital Campus,In Service
160151,Scripps Memorial Hospital La Jolla Campus,In Service
159305,Scripps Mercy Hospital San Diego Campus,In Service
160252,Scripps Memorial Hospital La Jolla Campus,In Service
166970,Scripps Memorial Hospital La Jolla Campus,In Service
159384,Scripps Mercy Hospital San Diego Campus,In Service
160353,Scripps Memorial Hospital La Jolla Campus,In Service
160448,Scripps Memorial Hospital La Jolla Campus,In Service
160033,Scripps Green Hospital Campus,In Service
162012,Scripps Green Hospital Campus,In Service
161442,Scripps Memorial Hospital La Jolla Campus,In Service
162721,Scripps Clinics and Coastal Medical Centers,In Service
158688,Scripps Memorial Hospital Encinitas Campus,In Service
159730,Scripps Green Hospital Campus,In Service
159510,Scripps Memorial Hospital La Jolla Campus,In Service
169277,Scripps Memorial Hospital La Jolla Campus,In Service
159325,Scripps Mercy Hospital San Diego Campus,In Service
160281,Scripps Memorial Hospital La Jolla Campus,In Service
160474,Scripps Memorial Hospital La Jolla Campus,In Service
159705,Scripps Green Hospital Campus,In Service
159728,Scripps Green Hospital Campus,In Service
167043,Scripps Mercy Hospital San Diego Campus,In Service
161469,Scripps Memorial Hospital La Jolla Campus,In Service
158562,Scripps Memorial Hospital Encinitas Campus,Lost
161562,Scripps Memorial Hospital La Jolla Campus,In Service
157670,Scripps Green Hospital Campus,In Service
157674,Scripps Green Hospital Campus,In Service
160102,Scripps Memorial Hospital La Jolla Campus,In Service
159866,Scripps Green Hospital Campus,In Service
159340,Scripps Mercy Hospital San Diego Campus,In Service
160308,Scripps Memorial Hospital La Jolla Campus,In Service
160082,Scripps Green Hospital Campus,In Service
159418,Scripps Mercy Hospital San Diego Campus,In Service
162214,Scripps Mercy Hospital Chula Vista Campus,In Service
161947,Scripps Memorial Hospital Encinitas Campus,In Service
161956,Scripps Memorial Hospital Encinitas Campus,In Service
160608,Scripps Mercy Hospital San Diego Campus,In Service
162281,Scripps Mercy Hospital Chula Vista Campus,In Service
171994,Scripps Mercy Hospital San Diego Campus,In Service
162073,Scripps Memorial Hospital La Jolla Campus,In Service
157583,Scripps Green Hospital Campus,In Service
160001,Scripps Green Hospital Campus,In Service
162158,Scripps Mercy Hospital Chula Vista Campus,In Service
159896,Scripps Green Hospital Campus,In Service
161519,Scripps Memorial Hospital La Jolla Campus,In Service
158745,Scripps Memorial Hospital Encinitas Campus,In Service
166951,Scripps Mercy Hospital Chula Vista Campus,In Service
157616,Scripps Green Hospital Campus,In Service
159700,Scripps Green Hospital Campus,In Service
173605,Scripps Clinics and Coastal Medical Centers,In Service
159929,Scripps Green Hospital Campus,In Service
167004,Scripps Green Hospital Campus,In Service
160573,Scripps Mercy Hospital San Diego Campus,In Service
161347,Scripps Memorial Hospital La Jolla Campus,In Service
160643,Scripps Mercy Hospital San Diego Campus,In Service
160647,Scripps Mercy Hospital San Diego Campus,In Service
160789,Scripps Mercy Hospital San Diego Campus,In Service
172455,Scripps Memorial Hospital Encinitas Campus,In Service
160862,Scripps Mercy Hospital San Diego Campus,In Service
168824,Scripps Memorial Hospital Encinitas Campus,In Service
159473,Scripps Memorial Hospital La Jolla Campus,In Service
159833,Scripps Green Hospital Campus,In Service
159949,Scripps Green Hospital Campus,In Service
160277,Scripps Memorial Hospital La Jolla Campus,In Service
160375,Scripps Memorial Hospital La Jolla Campus,In Service
162193,Scripps Mercy Hospital Chula Vista Campus,In Service
162047,Scripps Memorial Hospital La Jolla Campus,In Service
161465,Scripps Memorial Hospital La Jolla Campus,In Service
162401,Scripps Mercy Hospital Chula Vista Campus,In Service
158629,Scripps Memorial Hospital Encinitas Campus,In Service
158706,Scripps Memorial Hospital Encinitas Campus,In Service
159759,Scripps Green Hospital Campus,In Service
159956,Scripps Memorial Hospital La Jolla Campus,In Service
159862,Scripps Green Hospital Campus,In Service
174094,Scripps Memorial Hospital La Jolla Campus,In Service
160304,Scripps Memorial Hospital La Jolla Campus,In Service
160085,Scripps Green Hospital Campus,In Service
160401,Scripps Memorial Hospital La Jolla Campus,In Service
159488,Scripps Mercy Hospital San Diego Campus,In Service
168551,Scripps Memorial Hospital La Jolla Campus,In Service
159566,Scripps Mercy Hospital San Diego Campus,In Service
160535,Scripps Mercy Hospital San Diego Campus,In Service
158506,Scripps Memorial Hospital Encinitas Campus,In Service
160752,Scripps Mercy Hospital San Diego Campus,In Service
161583,Scripps Memorial Hospital La Jolla Campus,In Service
158650,Scripps Memorial Hospital Encinitas Campus,In Service
158801,Scripps Memorial Hospital Encinitas Campus,In Service
159779,Scripps Green Hospital Campus,In Service
160128,Scripps Memorial Hospital La Jolla Campus,In Service
159365,Scripps Mercy Hospital San Diego Campus,In Service
160333,Scripps Memorial Hospital La Jolla Campus,In Service
162033,Scripps Green Hospital Campus,In Service
159433,Scripps Mercy Hospital San Diego Campus,In Service
159507,Scripps Mercy Hospital San Diego Campus,In Service
162036,Scripps Mercy Hospital Chula Vista Campus,In Service
156389,Scripps Memorial Hospital Encinitas Campus,In Service
106553,Scripps Mercy Hospital San Diego Campus,In Service
162228,Scripps Mercy Hospital Chula Vista Campus,In Service
161973,Scripps Clinics and Coastal Medical Centers,In Service
161978,Scripps Memorial Hospital La Jolla Campus,In Service
161422,Scripps Memorial Hospital La Jolla Campus,In Service
160703,Scripps Mercy Hospital San Diego Campus,In Service
158523,Scripps Memorial Hospital Encinitas Campus,In Service
158526,Scripps Memorial Hospital Encinitas Campus,In Service
161515,Scripps Memorial Hospital La Jolla Campus,In Service
158597,Scripps Memorial Hospital Encinitas Campus,In Service
161607,Scripps Memorial Hospital La Jolla Campus,In Service
158671,Scripps Memorial Hospital Encinitas Campus,In Service
160154,Scripps Memorial Hospital La Jolla Campus,In Service
160032,Scripps Green Hospital Campus,In Service
159382,Scripps Mercy Hospital San Diego Campus,In Service
162108,Scripps Mercy Hospital Chula Vista Campus,In Service
177029,Scripps Mercy Hospital San Diego Campus,In Service
160503,Scripps Mercy Hospital San Diego Campus,In Service
167008,Scripps Mercy Hospital San Diego Campus,In Service
160721,Scripps Mercy Hospital San Diego Campus,In Service
161540,Scripps Memorial Hospital La Jolla Campus,In Service
160785,Scripps Mercy Hospital San Diego Campus,In Service
160865,Scripps Mercy Hospital San Diego Campus,In Service
160866,Scripps Mercy Hospital San Diego Campus,In Service
157649,Scripps Green Hospital Campus,In Service
158839,Scripps Memorial Hospital Encinitas Campus,In Service
167005,Scripps Memorial Hospital La Jolla Campus,In Service
160058,Scripps Green Hospital Campus,In Service
159400,Scripps Mercy Hospital San Diego Campus,In Service
159468,Scripps Mercy Hospital San Diego Campus,In Service
159546,Scripps Mercy Hospital San Diego Campus,In Service
167595,Scripps Mercy Hospital Chula Vista Campus,In Service
161924,Scripps Memorial Hospital La Jolla Campus,In Service
162267,Scripps Mercy Hospital Chula Vista Campus,In Service
162329,Scripps Mercy Hospital Chula Vista Campus,In Service
160736,Scripps Mercy Hospital San Diego Campus,In Service
172024,Scripps Mercy Hospital Chula Vista Campus,In Service
166901,Scripps Mercy Hospital Chula Vista Campus,In Service
171976,Scripps Mercy Hospital Chula Vista Campus,In Service
159754,Scripps Green Hospital Campus,In Service
160003,Scripps Memorial Hospital La Jolla Campus,In Service
160199,Scripps Memorial Hospital La Jolla Campus,In Service
159981,Scripps Green Hospital Campus,In Service
156371,Scripps Memorial Hospital Encinitas Campus,In Service
161394,Scripps Memorial Hospital La Jolla Campus,In Service
160683,Scripps Mercy Hospital San Diego Campus,In Service
160687,Scripps Mercy Hospital San Diego Campus,In Service
154886,Scripps Memorial Hospital La Jolla Campus,In Service
161490,Scripps Memorial Hospital La Jolla Campus,In Service
158577,Scripps Memorial Hospital Encinitas Campus,In Service
159775,Scripps Green Hospital Campus,In Service
160125,Scripps Memorial Hospital La Jolla Campus,In Service
159901,Scripps Green Hospital Campus,In Service
160330,Scripps Memorial Hospital La Jolla Campus,In Service
160426,Scripps Memorial Hospital La Jolla Campus,In Service
161322,Scripps Memorial Hospital La Jolla Campus,In Service
160628,Scripps Mercy Hospital San Diego Campus,In Service
161418,Scripps Memorial Hospital La Jolla Campus,In Service
160705,Scripps Mercy Hospital San Diego Campus,In Service
162364,Scripps Mercy Hospital Chula Vista Campus,In Service
158667,Scripps Memorial Hospital Encinitas Campus,In Service
162001,Scripps Mercy Hospital San Diego Campus,In Service
160256,Scripps Memorial Hospital La Jolla Campus,In Service
160357,Scripps Memorial Hospital La Jolla Campus,In Service
159450,Scripps Mercy Hospital San Diego Campus,In Service
160452,Scripps Memorial Hospital La Jolla Campus,In Service
162176,Scripps Mercy Hospital Chula Vista Campus,In Service
166964,Scripps Mercy Hospital San Diego Campus,In Service
162247,Scripps Mercy Hospital Chula Vista Campus,In Service
161343,Scripps Memorial Hospital La Jolla Campus,In Service
162315,Scripps Mercy Hospital Chula Vista Campus,In Service
161446,Scripps Memorial Hospital La Jolla Campus,In Service
162384,Scripps Mercy Hospital Chula Vista Campus,In Service
161630,Scripps Memorial Hospital La Jolla Campus,In Service
161945,Scripps Memorial Hospital Encinitas Campus,In Service
159954,Scripps Green Hospital Campus,In Service
160378,Scripps Memorial Hospital La Jolla Campus,In Service
160478,Scripps Memorial Hospital La Jolla Campus,In Service
160518,Scripps Mercy Hospital San Diego Campus,In Service
160521,Scripps Mercy Hospital San Diego Campus,In Service
160589,Scripps Mercy Hospital San Diego Campus,In Service
161367,Scripps Memorial Hospital La Jolla Campus,In Service
161563,Scripps Memorial Hospital La Jolla Campus,In Service
160807,Scripps Mercy Hospital San Diego Campus,In Service
161662,Scripps Memorial Hospital La Jolla Campus,In Service
158707,Scripps Memorial Hospital Encinitas Campus,In Service
173640,Scripps Memorial Hospital La Jolla Campus,In Service
158784,Scripps Memorial Hospital Encinitas Campus,In Service
157673,Scripps Green Hospital Campus,In Service
159345,Scripps Mercy Hospital San Diego Campus,In Service
157628,Scripps Green Hospital Campus,In Service
156367,Scripps Memorial Hospital Encinitas Campus,In Service
162284,Scripps Mercy Hospital Chula Vista Campus,In Service
162346,Scripps Mercy Hospital Chula Vista Campus,In Service
154884,Scripps Green Hospital Campus,In Service
160825,Scripps Mercy Hospital San Diego Campus,In Service
158726,Scripps Memorial Hospital Encinitas Campus,In Service
159892,Scripps Green Hospital Campus,In Service
160227,Scripps Memorial Hospital La Jolla Campus,In Service
160328,Scripps Memorial Hospital La Jolla Campus,In Service
160899,Scripps Memorial Hospital La Jolla Campus,In Service
162163,Scripps Mercy Hospital Chula Vista Campus,In Service
162302,Scripps Mercy Hospital Chula Vista Campus,In Service
160772,Scripps Mercy Hospital San Diego Campus,In Service
161613,Scripps Memorial Hospital La Jolla Campus,In Service
158747,Scripps Memorial Hospital Encinitas Campus,In Service
158750,Scripps Memorial Hospital Encinitas Campus,In Service
157625,Scripps Green Hospital Campus,In Service
159709,Scripps Green Hospital Campus,In Service
159308,Scripps Mercy Hospital San Diego Campus,In Service
159389,Scripps Mercy Hospital San Diego Campus,In Service
159531,Scripps Mercy Hospital San Diego Campus,In Service
167030,Scripps Memorial Hospital Encinitas Campus,In Service
161349,Scripps Memorial Hospital La Jolla Campus,In Service
158617,Scripps Memorial Hospital Encinitas Campus,In Service
172452,Scripps Memorial Hospital Encinitas Campus,In Service
159740,Scripps Green Hospital Campus,In Service
159846,Scripps Green Hospital Campus,In Service
159958,Scripps Green Hospital Campus,In Service
167020,Scripps Memorial Hospital La Jolla Campus,In Service
160070,Scripps Green Hospital Campus,In Service
159735,Scripps Clinics and Coastal Medical Centers,In Service
162051,Scripps Memorial Hospital La Jolla Campus,In Service
158633,Scripps Memorial Hospital Encinitas Campus,In Service
162697,Scripps Memorial Hospital Encinitas Campus,In Service
159763,Scripps Clinics and Coastal Medical Centers,In Service
160208,Scripps Memorial Hospital La Jolla Campus,In Service
160089,Scripps Clinics and Coastal Medical Centers,In Service
160404,Scripps Memorial Hospital La Jolla Campus,In Service
159492,Scripps Mercy Hospital San Diego Campus,In Service
160634,Scripps Memorial Hospital La Jolla Campus,In Service
159570,Scripps Mercy Hospital San Diego Campus,In Service
156372,Scripps Memorial Hospital Encinitas Campus,In Service
156375,Scripps Memorial Hospital Encinitas Campus,In Service
160539,Scripps Mercy Hospital San Diego Campus,In Service
161303,Scripps Memorial Hospital La Jolla Campus,In Service
160615,Scripps Mercy Hospital San Diego Campus,In Service
162286,Scripps Mercy Hospital Chula Vista Campus,In Service
161401,Scripps Memorial Hospital La Jolla Campus,In Service
158510,Scripps Memorial Hospital Encinitas Campus,In Service
161496,Scripps Memorial Hospital La Jolla Campus,In Service
158581,Scripps Memorial Hospital Encinitas Campus,In Service
158654,Scripps Memorial Hospital Encinitas Campus,In Service
166926,Scripps Mercy Hospital Chula Vista Campus,In Service
158805,Scripps Memorial Hospital Encinitas Campus,In Service
160132,Scripps Memorial Hospital La Jolla Campus,In Service
173560,Scripps Green Hospital Campus,In Service
159369,Scripps Mercy Hospital San Diego Campus,In Service
160337,Scripps Memorial Hospital La Jolla Campus,In Service
162046,Scripps Green Hospital Campus,In Service
159437,Scripps Mercy Hospital San Diego Campus,In Service
160432,Scripps Memorial Hospital La Jolla Campus,In Service
159512,Scripps Mercy Hospital San Diego Campus,In Service
162057,Scripps Mercy Hospital Chula Vista Campus,In Service
159923,Scripps Green Hospital Campus,In Service
162232,Scripps Mercy Hospital Chula Vista Campus,In Service
161328,Scripps Memorial Hospital La Jolla Campus,In Service
161982,Scripps Memorial Hospital La Jolla Campus,In Service
161426,Scripps Memorial Hospital La Jolla Campus,In Service
162702,Scripps Clinics and Coastal Medical Centers,In Service
158530,Scripps Memorial Hospital Encinitas Campus,In Service
161610,Scripps Memorial Hospital La Jolla Campus,In Service
173049,Scripps Memorial Hospital Encinitas Campus,In Service
166955,Scripps Mercy Hospital Chula Vista Campus,In Service
158829,Scripps Memorial Hospital Encinitas Campus,In Service
159352,Scripps Memorial Hospital La Jolla Campus,In Service
160156,Scripps Memorial Hospital La Jolla Campus,In Service
159933,Scripps Green Hospital Campus,In Service
160037,Scripps Green Hospital Campus,In Service
159386,Scripps Mercy Hospital San Diego Campus,In Service
162112,Scripps Mercy Hospital Chula Vista Campus,In Service
160579,Scripps Mercy Hospital San Diego Campus,In Service
162316,Scripps Mercy Hospital Chula Vista Campus,In Service
161452,Scripps Memorial Hospital La Jolla Campus,In Service
160792,Scripps Mercy Hospital San Diego Campus,In Service
160870,Scripps Mercy Hospital San Diego Campus,In Service
159838,Scripps Green Hospital Campus,In Service
160180,Scripps Memorial Hospital La Jolla Campus,In Service
159327,Scripps Mercy Hospital San Diego Campus,In Service
160064,Scripps Clinics and Coastal Medical Centers,In Service
166962,Scripps Memorial Hospital Encinitas Campus,In Service
162130,Scripps Mercy Hospital Chula Vista Campus,In Service
162199,Scripps Mercy Hospital Chula Vista Campus,In Service
161929,Scripps Corporate and Business Services,In Service
160595,Scripps Mercy Hospital San Diego Campus,In Service
162271,Scripps Mercy Hospital Chula Vista Campus,In Service
162335,Scripps Mercy Hospital Chula Vista Campus,In Service
173561,Scripps Memorial Hospital La Jolla Campus,In Service
158711,Scripps Memorial Hospital Encinitas Campus,In Service
166906,Scripps Mercy Hospital Chula Vista Campus,In Service
157677,Scripps Green Hospital Campus,In Service
159572,Scripps Mercy Hospital San Diego Campus,In Service
177037,Scripps Mercy Hospital San Diego Campus,In Service
159829,Scripps Clinics and Coastal Medical Centers,In Service
173057,Scripps Mercy Hospital San Diego Campus,In Service
161398,Scripps Memorial Hospital La Jolla Campus,In Service
160691,Scripps Mercy Hospital San Diego Campus,In Service
154890,Scripps Memorial Hospital La Jolla Campus,In Service
157705,Scripps Green Hospital Campus,In Service
159782,Scripps Green Hospital Campus,In Service
160235,Scripps Memorial Hospital La Jolla Campus,In Service
156395,Scripps Memorial Hospital Encinitas Campus,In Service
160559,Scripps Mercy Hospital San Diego Campus,In Service
161324,Scripps Memorial Hospital La Jolla Campus,In Service
160632,Scripps Mercy Hospital San Diego Campus,In Service
160709,Scripps Mercy Hospital San Diego Campus,In Service
162368,Scripps Mercy Hospital Chula Vista Campus,In Service
160850,Scripps Mercy Hospital San Diego Campus,In Service
158825,Scripps Memorial Hospital Encinitas Campus,In Service
160259,Scripps Memorial Hospital La Jolla Campus,In Service
166979,Scripps Memorial Hospital La Jolla Campus,In Service
160361,Scripps Memorial Hospital La Jolla Campus,In Service
173602,Scripps Memorial Hospital La Jolla Campus,In Service
172008,Scripps Memorial Hospital La Jolla Campus,In Service
160506,Scripps Mercy Hospital San Diego Campus,In Service
162252,Scripps Mercy Hospital Chula Vista Campus,In Service
161353,Scripps Memorial Hospital La Jolla Campus,In Service
158548,Scripps Memorial Hospital Encinitas Campus,In Service
162388,Scripps Mercy Hospital Chula Vista Campus,In Service
161635,Scripps Memorial Hospital La Jolla Campus,In Service
157656,Scripps Green Hospital Campus,In Service
162041,Scripps Memorial Hospital Encinitas Campus,In Service
159757,Scripps Memorial Hospital La Jolla Campus,In Service
159962,Scripps Green Hospital Campus,In Service
160289,Scripps Memorial Hospital La Jolla Campus,In Service
157576,Scripps Clinics and Coastal Medical Centers,In Service
160382,Scripps Memorial Hospital La Jolla Campus,In Service
159471,Scripps Mercy Hospital San Diego Campus,In Service
160481,Scripps Memorial Hospital La Jolla Campus,In Service
159549,Scripps Mercy Hospital San Diego Campus,In Service
160525,Scripps Mercy Hospital San Diego Campus,In Service
160739,Scripps Mercy Hospital San Diego Campus,In Service
160811,Scripps Mercy Hospital San Diego Campus,In Service
158713,Scripps Memorial Hospital Encinitas Campus,In Service
